"Episode","Step","Total Reward","Number of Episodes Solved"
927,999,-99.80563207568927,1
928,999,-99.8999999999986,1
929,999,-99.80686765299622,1
930,999,-99.66272435235302,1
931,999,-99.8999999999986,1
932,999,-99.8022178888307,1
933,999,-99.71832930865209,1
934,999,-99.85534727908531,1
935,999,-99.84937090799654,1
936,999,-99.8999999999986,1
937,999,-99.72707245385253,1
938,999,-99.60192087855982,1
939,999,-99.8999999999986,1
940,999,-99.58042729569577,1
941,999,-99.8999999999986,1
942,999,-99.73359180525738,1
943,999,-99.85526784437103,1
944,999,-99.74752394664546,1
945,999,-99.86515802352083,1
946,999,-99.74407555917138,1
947,999,-99.80009957291047,1
948,999,-99.8999999999986,1
949,999,-99.73993254573877,1
950,999,-99.80204679965833,1
951,999,-99.80507376724714,1
952,999,-99.83487802147725,1
953,999,-99.71983326722845,1
954,999,-99.87693517901796,1
955,999,-99.77572107424936,1
956,999,-99.8999999999986,1
957,999,-99.82278104424337,1
958,999,-99.8999999999986,1
959,999,-99.78975103011332,1
960,999,-99.8999999999986,1
961,999,-99.61190089772433,1
962,999,-99.84854667713377,1
963,999,-99.80435597458715,1
964,999,-99.8999999999986,1
965,999,-99.8999999999986,1
966,999,-99.8999999999986,1
967,999,-99.8999999999986,1
968,999,-99.80748181426758,1
969,999,-99.8999999999986,1
970,999,-99.8999999999986,1
971,999,-99.80000759123219,1
972,999,-99.82416780972713,1
973,999,-99.73018845757912,1
974,999,-99.75952573753753,1
975,999,-99.53823035462854,1
976,999,-99.5301726795079,1
977,999,-99.8161635015146,1
978,999,-99.75344968575378,1
979,999,-99.83653001272911,1
980,999,-99.73132765181224,1
981,999,-99.76292581278692,1
982,999,-99.80028034904832,1
983,999,-99.80042531350487,1
984,999,-99.83573936505569,1
985,999,-99.67422798511551,1
986,999,-99.8999999999986,1
987,999,-99.8999999999986,1
988,999,-99.72401422331902,1
989,999,-99.81544652154996,1
990,999,-99.86045242829574,1
991,999,-99.57979608059256,1
992,999,-99.72320721890289,1
993,999,-99.77715464683575,1
994,999,-99.8999999999986,1
995,999,-99.67668928278006,1
996,999,-99.8999999999986,1
997,999,-99.8999999999986,1
998,999,-99.85527574366284,1
999,999,-99.7480478879807,1
