"Episode","Step","Total Reward","Number of Episodes Solved"
72,999,-98.05960629181041,1
73,999,-98.44347976377308,1
74,999,-98.640465338422,1
75,999,-98.95341624219594,1
76,999,-97.82671542538706,1
77,999,-98.75404021517511,1
78,999,-97.82837994991536,1
79,999,-97.75697511095403,1
80,999,-97.71459599542241,1
81,999,-98.71417901719157,1
82,999,-98.27675289949175,1
83,999,-98.70580784466861,1
84,999,-98.1248005323575,1
85,999,-98.86642424781687,1
86,999,-98.43158816334031,1
87,999,-98.53011308150302,1
88,999,-98.3023005894255,1
89,999,-98.19973476916773,1
90,999,-98.58222698248426,1
91,999,-98.74431084303372,1
92,999,-98.15860966862775,1
93,999,-98.4590702546198,1
94,999,-98.58444175381415,1
95,999,-98.74002136912172,1
96,999,-98.28284819054349,1
97,999,-98.77063352977115,1
98,999,-98.78767096454953,1
99,999,-98.53653292787372,1
100,999,-98.82378625673987,1
101,999,-98.82677510105945,1
102,999,-98.65606977262946,1
103,999,-99.15056283005406,1
104,999,-98.65452521341045,1
105,999,-98.98822664007368,1
106,999,-98.29614575200937,1
107,999,-98.30052021744837,1
108,999,-98.71801050385088,1
109,999,-98.26222964890601,1
110,999,-99.08131410360885,1
111,999,-99.19579412602017,1
112,999,-98.89073649560899,1
113,999,-98.48706963556414,1
114,999,-98.99931724489845,1
115,999,-99.33107682550843,1
116,999,-98.37450035573143,1
117,999,-98.43450338837663,1
118,999,-99.11574243311097,1
119,999,-99.10471299785432,1
120,999,-99.06917415617583,1
121,999,-99.08361906397998,1
122,999,-99.01163127415032,1
123,999,-99.27286811502609,1
124,999,-98.90182056348662,1
125,999,-99.13545516778632,1
126,999,-98.38974740462413,1
127,999,-99.23529544084967,1
128,999,-99.21118093503587,1
129,999,-99.3212355680711,1
130,999,-98.76064643007251,1
131,999,-99.4029736932044,1
132,999,-98.5231644346082,1
133,999,-98.85234591684406,1
134,999,-99.2045320370552,1
135,999,-98.98190140447453,1
136,999,-99.054348294922,1
137,999,-99.05719281089597,1
138,999,-98.4051223702381,1
139,999,-99.50686018554016,1
140,999,-99.1163849086982,1
141,999,-99.21120224185988,1
142,999,-99.08334053757618,1
143,999,-98.68914524526312,1
144,999,-99.12705127688906,1
145,999,-98.42259388037215,1
146,999,-98.90057053931281,1
147,999,-99.25453367799246,1
148,999,-98.88946566071985,1
149,999,-99.0676170428099,1
150,999,-99.46357217028715,1
151,999,-99.47998457296352,1
152,999,-98.92735324113214,1
153,999,-99.24651679003847,1
154,999,-98.34312505288013,1
155,999,-99.41238530342025,1
